0,1,2,3
Wacker (1st),Molenbeek (1st),CSKA Sofia (1st),Omonia (1st)
Slovan Bratislava (1st),KB (1st),Derby County (1st),KuPS (1st)
Saint-Étienne (1st),Magdeburg (1st),Borussia Mönchengladbach (1st),Bayern Munich (10th)TH
Olympiacos (1st),Újpesti Dózsa (1st),ÍA (1st),Bohemians (1st)
Juventus (1st),Jeunesse Esch (1st),Floriana (1st),PSV Eindhoven (1st)
Linfield (1st),Viking (1st),Ruch Chorzów (1st),Benfica (1st)
Dinamo București (1st),Rangers (1st),Real Madrid (1st),Malmö FF (1st)
Zürich (1st),Fenerbahçe (1st),Dynamo Kyiv (1st),Hajduk Split (1st)
