Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,VAL,LYO,OLY,HVN
1,Valencia,6,4,1,1,7,4,+3,13,Advance to second group stage,,—,1–0,2–1,1–1
2,Lyon,6,3,0,3,8,6,+2,9,Advance to second group stage,,1–2,—,1–0,3–1
3,Olympiacos,6,3,0,3,6,5,+1,9,Transfer to UEFA Cup,,1–0,2–1,—,2–0
4,Heerenveen,6,1,1,4,3,9,−6,4,,,0–1,0–2,1–0,—
