Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,PAR,ROS,HEL
1,Bayern Munich,6,3,2,1,9,4,+5,11,Advance to second group stage,,—,2–0,3–1,0–0
2,Paris Saint-Germain,6,3,1,2,14,9,+5,10,Advance to second group stage,,1–0,—,7–2,4–1
3,Rosenborg,6,2,1,3,13,15,−2,7,Transfer to UEFA Cup,,1–1,3–1,—,6–1
4,Helsingborgs IF,6,1,2,3,6,14,−8,5,,,1–3,1–1,2–0,—
