Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Leeds United,3–2,Deportivo La Coruña,3–0,0–2
Arsenal,2–2 (a),Valencia,2–1,0–1
Galatasaray,3–5,Real Madrid,3–2,0–3
Manchester United,1–3,Bayern Munich,0–1,1–2
