Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,LEE,AND,LAZ
1,Real Madrid,6,4,1,1,14,9,+5,13,Advance to knockout stage,,—,3–2,4–1,3–2
2,Leeds United,6,3,1,2,12,10,+2,10,Advance to knockout stage,,0–2,—,2–1,3–3
3,Anderlecht,6,2,0,4,7,12,−5,6,,,2–0,1–4,—,1–0
4,Lazio,6,1,2,3,9,11,−2,5,,,2–2,0–1,2–1,—
