Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,ARS,LYO,SPM
1,Bayern Munich,6,4,1,1,8,5,+3,13,Advance to knockout stage,,—,1–0,1–0,1–0
2,Arsenal,6,2,2,2,6,8,−2,8,Advance to knockout stage,,2–2,—,1–1,1–0
3,Lyon,6,2,2,2,8,4,+4,8,,,3–0,0–1,—,3–0
4,Spartak Moscow,6,1,1,4,5,10,−5,4,,,0–3,4–1,1–1,—
