Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,LEE,BAR,BES
1,Milan,6,3,2,1,12,6,+6,11,Advance to second group stage,,—,1–1,3–3,4–1
2,Leeds United,6,2,3,1,9,6,+3,9,Advance to second group stage,,1–0,—,1–1,6–0
3,Barcelona,6,2,2,2,13,9,+4,8,Transfer to UEFA Cup,,0–2,4–0,—,5–0
4,Beşiktaş,6,1,1,4,4,17,−13,4,,,0–2,0–0,3–0,—
