Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,STM,GAL,RAN,MON
1,Sturm Graz,6,3,1,2,9,12,−3,10,Advance to second group stage,,—,3–0,2–0,2–0
2,Galatasaray,6,2,2,2,10,13,−3,8,Advance to second group stage,,2–2,—,3–2,3–2
3,Rangers,6,2,2,2,10,7,+3,8,Transfer to UEFA Cup,,5–0,0–0,—,2–2
4,Monaco,6,2,1,3,13,10,+3,7,,,5–0,4–2,0–1,—
