Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DEP,GAL,MIL,PAR
1,Deportivo La Coruña,6,3,1,2,10,7,+3,10,Advance to knockout stage,,—,2–0,0–1,4–3
2,Galatasaray,6,3,1,2,6,6,0,10,Advance to knockout stage,,1–0,—,2–0,1–0
3,Milan,6,1,4,1,6,7,−1,7,,,1–1,2–2,—,1–1
4,Paris Saint-Germain,6,1,2,3,8,10,−2,5,,,1–3,2–0,1–1,—
