Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,23 June 2000,12 July 2000,19 July 2000
Qualifying,Second qualifying round,23 June 2000,26 July 2000,2 August 2000
Qualifying,Third qualifying round,21 July 2000 (Nyon),8–9 August 2000,22–23 August 2000
First group stage,Matchday 1,25 August 2000 (Monaco),12–13 September 2000,12–13 September 2000
First group stage,Matchday 2,25 August 2000 (Monaco),19–20 September 2000,19–20 September 2000
First group stage,Matchday 3,25 August 2000 (Monaco),26–27 September 2000,26–27 September 2000
First group stage,Matchday 4,25 August 2000 (Monaco),17–18 October 2000,17–18 October 2000
First group stage,Matchday 5,25 August 2000 (Monaco),24–25 October 2000,24–25 October 2000
First group stage,Matchday 6,25 August 2000 (Monaco),7–8 November 2000,7–8 November 2000
Second group stage,Matchday 1,10 November 2000,21–22 November 2000,21–22 November 2000
Second group stage,Matchday 2,10 November 2000,5–6 December 2000,5–6 December 2000
Second group stage,Matchday 3,10 November 2000,13–14 February 2001,13–14 February 2001
Second group stage,Matchday 4,10 November 2000,20–21 February 2001,20–21 February 2001
Second group stage,Matchday 5,10 November 2000,6–7 March 2001,6–7 March 2001
Second group stage,Matchday 6,10 November 2000,13–14 March 2001,13–14 March 2001
Knockout phase,Quarter-finals,16 March 2001,3–4 April 2001,17–18 April 2001
Knockout phase,Semi-finals,16 March 2001,1–2 May 2001,8–9 May 2001
Knockout phase,Final,16 March 2001,"23 May 2001 at San Siro, Milan","23 May 2001 at San Siro, Milan"
