Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,SPM,LEV,SPO
1,Real Madrid,6,4,1,1,15,8,+7,13,Advance to second group stage,,—,1–0,5–3,4–0
2,Spartak Moscow,6,4,0,2,9,3,+6,12,Advance to second group stage,,1–0,—,2–0,3–1
3,Bayer Leverkusen,6,2,1,3,9,12,−3,7,Transfer to UEFA Cup,,2–3,1–0,—,3–2
4,Sporting CP,6,0,2,4,5,15,−10,2,,,2–2,0–3,0–0,—
