0,1,2,3
Partizani (1st),Rapid Wien (1st),Anderlecht (1st),CSKA Sredets (1st)
Omonia (1st),Sparta Prague (1st),AGF Aarhus (1st),Kuusysi (1st)
Bordeaux (1st),BFC Dynamo (1st),Bayern Munich (1st),Olympiacos (1st)
MTK (1st),Fram (1st),Shamrock Rovers (1st),Napoli (1st)
Jeunesse Esch (1st),Ħamrun Spartans (1st),PSV Eindhoven (1st),Linfield (1st)
Lillestrøm (1st),Górnik Zabrze (1st),Benfica (1st),Porto (2nd)TH
Steaua București (1st),Rangers (1st),Real Madrid (1st),Malmö FF (1st)
Neuchâtel Xamax (1st),Galatasaray (1st),Dynamo Kyiv (1st),Vardar (5th)
