Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Bayern Munich,3–4,Real Madrid,3–2,0–2
Bordeaux,1–1 (a),PSV Eindhoven,1–1,0–0
Steaua București,3–2,Rangers,2–0,1–2
Benfica,2–1,Anderlecht,2–0,0–1
