Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Ajax,3–1,Arsenal,2–1,1–0
Feyenoord,2–5,Benfica,1–0,1–5
Újpesti Dózsa,2–3,Celtic,1–2,1–1
Inter Milan,2–2 (a),Standard Liège,1–0,1–2
