0,1,2
Partizani Tirana (1st),Wacker Innsbruck (1st),Standard Liège (1st)
CSKA September Flag (1st),Olympiakos Nicosia (1st),Spartak Trnava (1st)
Boldklubben 1903 (1st),Arsenal (1st),Reipas Lahti (1st)
Marseille (1st),Dynamo Dresden (1st),Borussia M.Gladbach (1st)
AEK Athens (1st),Újpesti Dózsa (1st),ÍA (1st)
Cork Hibernians (1st),Inter Milan (1st),Union Luxembourg (1st)
Sliema Wanderers (1st),Feyenoord (1st),Ajax (2nd)TH
Linfield (1st),Strømsgodset (1st),Górnik Zabrze (1st)
Benfica (1st),Dinamo București (1st),Celtic (1st)
Valencia (1st),Malmö FF (1st),Grasshopper (1st)
Galatasaray (1st),CSKA Moscow (1st),Hajduk Split (1st)
