Rank,Name,Team,Goals
1,Johan Cruyff,Ajax,5
1,Antal Dunai,Újpesti Dózsa,5
1,Lou Macari,Celtic,5
1,Silvester Takač,Standard Liège,5
5,Ronnie Cocks,Sliema Wanderers,4
5,Willem van Hanegem,Feyenoord,4
5,Rinus Israël,Feyenoord,4
5,Artur Jorge,Benfica,4
5,Ray Kennedy,Arsenal,4
5,Kurt Müller,Grasshopper,4
5,Lex Schoenmaker,Feyenoord,4
