Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Marseille,3–2,Górnik Zabrze,2–1,1–1
Ajax,2–0,Dynamo Dresden,2–0,0–0
Reipas Lahti,1–9,Grasshopper,1–1,0–8
Strømsgodset,1–7,Arsenal,1–3,0–4
Dinamo București,2–2 (a),Spartak Trnava,0–0,2–2
Feyenoord,17–0,Olympiakos Nicosia,8–0,9–0
Wacker,1–7,Benfica,0–4,1–3
CSKA September Flag,4–0,Partizani,3–0,1–0
Valencia,1–1 (a),Hajduk Split,0–0,1–1
Újpesti Dózsa,4–1,Malmö FF,4–0,0–1
Boldklubben 1903,2–4,Celtic,2–1,0–3
ÍA,0–4,Sliema Wanderers,0–4,0–0
Inter Milan,6–4,AEK Athens,4–1,2–3
Cork Hibernians,1–7,Borussia Mönchengladbach,0–5,1–2
Galatasaray,1–4,CSKA Moscow,1–1,0–3
Standard Liège,5–2,Linfield,2–0,3–2
