Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg
Marseille,2–6,Ajax,1–2,1–4
Grasshopper,0–5,Arsenal,0–2,0–3
Dinamo București,0–5,Feyenoord,0–3,0–2
Benfica,2–1,CSKA September Flag,2–1,0–0
Valencia,1–3,Újpesti Dózsa,0–1,1–2
Celtic,7–1,Sliema Wanderers,5–0,2–1
Inter Milan,4–2,Borussia Mönchengladbach,4–2,0–0
CSKA Moscow,1–2,Standard Liège,1–0,0–2
