Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,ATM,SAL,LMO
1,Bayern Munich,6,5,1,0,18,5,+13,16,Advance to knockout phase,,—,4–0,3–1,2–0
2,Atlético Madrid,6,2,3,1,7,8,−1,9,Advance to knockout phase,,1–1,—,3–2,0–0
3,Red Bull Salzburg,6,1,1,4,10,17,−7,4,Transfer to Europa League,,2–6,0–2,—,2–2
4,Lokomotiv Moscow,6,0,3,3,5,10,−5,3,,,1–2,1–1,1–3,—
