Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Borussia Mönchengladbach,0–4,Manchester City,0–2,0–2
Lazio,2–6,Bayern Munich,1–4,1–2
Atlético Madrid,0–3,Chelsea,0–1,0–2
RB Leipzig,0–4,Liverpool,0–2,0–2
Porto,4–4 (a),Juventus,2–1,2–3 (a.e.t.)
Barcelona,2–5,Paris Saint-Germain,1–4,1–1
Sevilla,4–5,Borussia Dortmund,2–3,2–2
Atalanta,1–4,Real Madrid,0–1,1–3
