Phase,Round,Draw date,First leg,Second leg
Qualifying,Preliminary round,17 July 2020,8 August 2020 (semi-final round),11 August 2020 (final round)
Qualifying,First qualifying round,9 August 2020,18–19 August 2020,18–19 August 2020
Qualifying,Second qualifying round,10 August 2020,25–26 August 2020,25–26 August 2020
Qualifying,Third qualifying round,31 August 2020,15–16 September 2020,15–16 September 2020
Play-off,Play-off round,1 September 2020,22–23 September 2020,29–30 September 2020
Group stage,Matchday 1,1 October 2020 (Geneva),20–21 October 2020,20–21 October 2020
Group stage,Matchday 2,1 October 2020 (Geneva),27–28 October 2020,27–28 October 2020
Group stage,Matchday 3,1 October 2020 (Geneva),3–4 November 2020,3–4 November 2020
Group stage,Matchday 4,1 October 2020 (Geneva),24–25 November 2020,24–25 November 2020
Group stage,Matchday 5,1 October 2020 (Geneva),1–2 December 2020,1–2 December 2020
Group stage,Matchday 6,1 October 2020 (Geneva),8–9 December 2020,8–9 December 2020
Knockout phase,Round of 16,14 December 2020,16–17 & 23–24 February 2021,9–10 & 16–17 March 2021
Knockout phase,Quarter-finals,19 March 2021,6–7 April 2021,13–14 April 2021
Knockout phase,Semi-finals,19 March 2021,27–28 April 2021,4–5 May 2021
Knockout phase,Final,19 March 2021,"29 May 2021 at Estádio do Dragão, Porto","29 May 2021 at Estádio do Dragão, Porto"
