Rank[67],Player,Team,Goals,Minutes played
1,Erling Haaland,Borussia Dortmund,10,705
2,Kylian Mbappé,Paris Saint-Germain,8,900
3,Olivier Giroud,Chelsea,6,257
3,Youssef En-Nesyri,Sevilla,6,386
3,Marcus Rashford,Manchester United,6,416
3,Álvaro Morata,Juventus,6,597
3,Neymar,Paris Saint-Germain,6,746
3,Mohamed Salah,Liverpool,6,781
3,Karim Benzema,Real Madrid,6,842
10,Ciro Immobile,Lazio,5,417
10,Robert Lewandowski,Bayern Munich,5,514
10,Lionel Messi,Barcelona,5,540
10,Alassane Pléa,Borussia Mönchengladbach,5,540
10,Sérgio Oliveira,Porto,5,740
