Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,N'Golo Kanté[3],Chelsea,263
2,Kevin De Bruyne,Manchester City,197
3,Jorginho,Chelsea,149
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,İlkay Gündoğan,Manchester City,15
4,Mason Mount,Chelsea,15
6,Frenkie de Jong,Barcelona,9
6,Luka Modrić,Real Madrid,9
8,Pedri,Barcelona,6
9,Kai Havertz,Chelsea,5
9,Georginio Wijnaldum,Liverpool,5
