Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,PAR,RBL,MUN,IBS
1,Paris Saint-Germain,6,4,0,2,13,6,+7,12[a],Advance to knockout phase,,—,1–0,1–2,5–1
2,RB Leipzig,6,4,0,2,11,12,−1,12[a],Advance to knockout phase,,2–1,—,3–2,2–0
3,Manchester United,6,3,0,3,15,10,+5,9,Transfer to Europa League,,1–3,5–0,—,4–1
4,İstanbul Başakşehir,6,1,0,5,7,18,−11,3,,,0–2,3–4,2–1,—
