Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,DOR,LAZ,BRU,ZEN
1,Borussia Dortmund,6,4,1,1,12,5,+7,13,Advance to knockout phase,,—,1–1,3–0,2–0
2,Lazio,6,2,4,0,11,7,+4,10,Advance to knockout phase,,3–1,—,2–2,3–1
3,Club Brugge,6,2,2,2,8,10,−2,8,Transfer to Europa League,,0–3,1–1,—,3–0
4,Zenit Saint Petersburg,6,0,1,5,4,13,−9,1,,,1–2,1–1,1–2,—
