Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Manchester City,4–2,Borussia Dortmund,2–1,2–1
Porto,1–2,Chelsea,0–2,1–0
Bayern Munich,3–3 (a),Paris Saint-Germain,2–3,1–0
Real Madrid,3–1,Liverpool,3–1,0–0
