Rank,Player,Team(s),Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Édouard Mendy[1],Chelsea,286
2,Ederson,Manchester City,154
3,Thibaut Courtois,Real Madrid,96
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Keylor Navas,Paris Saint-Germain,50
5,Manuel Neuer,Bayern Munich,36
6,Jan Oblak,Atlético Madrid,35
7,Gianluigi Donnarumma,Milan,20
8,Marc-André ter Stegen,Barcelona,13
9,Alisson,Liverpool,4
9,Agustín Marchesín,Porto,4
