Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,INT,FEN,PSV,CSKA
1,Internazionale,6,5,0,1,12,4,+8,15,Advance to knockout stage,,—,3–0,2–0,4–2
2,Fenerbahçe,6,3,2,1,8,6,+2,11,Advance to knockout stage,,1–0,—,2–0,3–1
3,PSV Eindhoven,6,2,1,3,3,6,−3,7,Transfer to UEFA Cup,,0–1,0–0,—,2–1
4,CSKA Moscow,6,0,1,5,7,14,−7,1,,,1–2,2–2,0–1,—
