Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,POR,LIV,MAR,BES
1,Porto,6,3,2,1,8,7,+1,11,Advance to knockout stage,,—,1–1,2–1,2–0
2,Liverpool,6,3,1,2,18,5,+13,10,Advance to knockout stage,,4–1,—,0–1,8–0
3,Marseille,6,2,1,3,6,9,−3,7,Transfer to UEFA Cup,,1–1,0–4,—,2–0
4,Beşiktaş,6,2,0,4,4,15,−11,6,,,0–1,2–1,2–1,—
