Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MUN,ROM,SPO,DKV
1,Manchester United,6,5,1,0,13,4,+9,16,Advance to knockout stage,,—,1–0,2–1,4–0
2,Roma,6,3,2,1,11,6,+5,11,Advance to knockout stage,,1–1,—,2–1,2–0
3,Sporting CP,6,2,1,3,9,8,+1,7,Transfer to UEFA Cup,,0–1,2–2,—,3–0
4,Dynamo Kyiv,6,0,0,6,4,19,−15,0,,,2–4,1–4,1–2,—
