Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,OLY,BRM,LAZ
1,Real Madrid,6,3,2,1,13,9,+4,11,Advance to knockout stage,,—,4–2,2–1,3–1
2,Olympiacos,6,3,2,1,11,7,+4,11,Advance to knockout stage,,0–0,—,3–0,1–1
3,Werder Bremen,6,2,0,4,8,13,−5,6,Transfer to UEFA Cup,,3–2,1–3,—,2–1
4,Lazio,6,1,2,3,8,11,−3,5,,,2–2,1–2,2–1,—
