Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MIL,CEL,BEN,SHK
1,Milan,6,4,1,1,12,5,+7,13,Advance to knockout stage,,—,1–0,2–1,4–1
2,Celtic,6,3,0,3,5,6,−1,9,Advance to knockout stage,,2–1,—,1–0,2–1
3,Benfica,6,2,1,3,5,6,−1,7,Transfer to UEFA Cup,,1–1,1–0,—,0–1
4,Shakhtar Donetsk,6,2,0,4,6,11,−5,6,,,0–3,2–0,1–2,—
