Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,SCH,ROS,VAL
1,Chelsea,6,3,3,0,9,2,+7,12,Advance to knockout stage,,—,2–0,1–1,0–0
2,Schalke 04,6,2,2,2,5,4,+1,8,Advance to knockout stage,,0–0,—,3–1,0–1
3,Rosenborg,6,2,1,3,6,10,−4,7,Transfer to UEFA Cup,,0–4,0–2,—,2–0
4,Valencia,6,1,2,3,2,6,−4,5,,,1–2,0–0,0–2,—
