Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Arsenal,3–5,Liverpool,1–1,2–4
Roma,0–3,Manchester United,0–2,0–1
Schalke 04,0–2,Barcelona,0–1,0–1
Fenerbahçe,2–3,Chelsea,2–1,0–2
