Rank[11],Player,Team,Goals,Minutes played
1,Cristiano Ronaldo,Manchester United,8,1062
2,Lionel Messi,Barcelona,6,755
2,Fernando Torres,Liverpool,6,905
2,Didier Drogba,Chelsea,6,1071
2,Steven Gerrard,Liverpool,6,1144
6,Ryan Babel,Liverpool,5,619
6,Zlatan Ibrahimović,Internazionale,5,625
6,Frédéric Kanouté,Sevilla,5,714
6,Raúl,Real Madrid,5,715
6,Deivid,Fenerbahçe,5,844
6,Dirk Kuyt,Liverpool,5,892
