Phase,Round,Draw date,First leg,Second leg
Qualifying,First qualifying round,29 June 2007,17–18 July 2007,24–25 July 2007
Qualifying,Second qualifying round,29 June 2007,31 July–1 August 2007,7–8 August 2007
Qualifying,Third qualifying round,3 August 2007,14–15 August 2007,28–29 August 2007
Group stage,Matchday 1,30 August 2007,18–19 September 2007,18–19 September 2007
Group stage,Matchday 2,30 August 2007,2–3 October 2007,2–3 October 2007
Group stage,Matchday 3,30 August 2007,23–24 October 2007,23–24 October 2007
Group stage,Matchday 4,30 August 2007,6–7 November 2007,6–7 November 2007
Group stage,Matchday 5,30 August 2007,27–28 November 2007,27–28 November 2007
Group stage,Matchday 6,30 August 2007,4 & 11–12 December 2007[a],4 & 11–12 December 2007[a]
Knockout phase,Round of 16,21 December 2007,19–20 February 2008,4–5 & 11 March 2008[b]
Knockout phase,Quarter-finals,14 March 2008,1–2 April 2008,8–9 April 2008
Knockout phase,Semi-finals,14 March 2008,22–23 April 2008,29–30 April 2008
Knockout phase,Final,14 March 2008,"21 May 2008 at Luzhniki Stadium, Moscow","21 May 2008 at Luzhniki Stadium, Moscow"
