Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAR,LYO,RAN,STU
1,Barcelona,6,4,2,0,12,3,+9,14,Advance to knockout stage,,—,3–0,2–0,3–1
2,Lyon,6,3,1,2,11,10,+1,10,Advance to knockout stage,,2–2,—,0–3,4–2
3,Rangers,6,2,1,3,7,9,−2,7,Transfer to UEFA Cup,,0–0,0–3,—,2–1
4,VfB Stuttgart,6,1,0,5,7,15,−8,3,,,0–2,0–2,3–2,—
