Rank,Name,Team,Goals
1,Allan Simonsen,Borussia Mönchengladbach,5
2,Jimmy Case,Liverpool,4
2,Joe Craig,Celtic,4
2,Roger Davies,Club Brugge,4
2,Jupp Heynckes,Borussia Mönchengladbach,4
2,Pietro Paolo Virdis,Juventus,4
7,Kenny Dalglish,Liverpool,3
7,Zoran Filipović,Red Star Belgrade,3
7,Ruud Geels,Ajax,3
7,Tschen La Ling,Ajax,3
7,Kiril Milanov,Levski-Spartak,3
7,Pavel Panov,Levski-Spartak,3
7,Marcial Pina,Atlético Madrid,3
7,René Vandereycken,Club Brugge,3
7,Kurt Welzl,Wacker,3
