0,1,2,3
Wacker (1st),Club Brugge (1st),Levski-Spartak (1st),Omonia (1st)
Dukla Prague (1st),Boldklubben 1903 (1st),Liverpool (1st)TH,KuPS (1st)
Nantes (1st),Dynamo Dresden (1st),Borussia Mönchengladbach (1st),Panathinaikos (1st)
Vasas (1st),Valur (1st),Sligo Rovers (1st),Juventus (1st)
Jeunesse Esch (1st),Floriana (1st),Ajax (1st),Glentoran (1st)
Lillestrøm (1st),Śląsk Wrocław (1st),Benfica (1st),Dinamo București (1st)
Celtic (1st),Atlético Madrid (1st),Halmstad (1st),Basel (1st)
Trabzonspor (1st),Torpedo Moscow (1st),Red Star Belgrade (1st),
