Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Benfica,4–1,Rapid Wien,3–0,1–1[c],
Barcelona,2–2,Hamburger SV,1–0,1–2,1–0
