Team 1,Agg.Tooltip Aggregate score,Team 2,1st leg,2nd leg,Play-off
Benfica,7–4,Újpesti Dózsa,6–2,1–2,
AGF,4–0,Fredrikstad,3–0,1–0,
Rapid Wien,3–3,Wismut Karl-Marx-Stadt,3–1,0–2,1–0
IFK Malmö,2–1,CDNA Sofia,1–0,1–1,
Real Madrid,3–4,Barcelona,2–2,1–2,
Spartak Hradec Králové,1–0,Panathinaikos,1–0,0–0,
Burnley,4–3,Reims,2–0,2–3,
Young Boys,3–8,Hamburger SV,0–5,3–3,
