Rank,Player,Team,Goals
1,José Águas,Benfica,11
2,José Augusto,Benfica,7
3,Evaristo,Barcelona,6
4,Uwe Seeler,Hamburger SV,5
5,Klaus Stürmer,Hamburger SV,4
5,Luis Suárez,Barcelona,4
7,John Amdisen,AGF,3
7,Josef Bertalan,Rapid Wien,3
7,Robert Dienst,Rapid Wien,3
7,Charly Dörfel,Hamburger SV,3
7,Claude Dubaële,Reims,3
7,János Göröcs,Újpesti Dózsa,3
7,John Jensen,AGF,3
7,Jimmy Robson,Burnley,3
7,Dominique Rustichelli,Reims,3
7,Santana,Benfica,3
7,Willy Schneider,Young Boys,3
