0,1,2,3
Rapid Wien (1st),Lierse (1st),CDNA Sofia (1st),Spartak Hradec Králové (1st)
AGF (1st),Wismut Karl-Marx-Stadt (1st),Burnley (1st),IFK Helsingfors (1st)
Reims (1st),Panathinaikos (1st),Újpesti Dózsa (1st),Juventus (1st)
Jeunesse Esch (1st),Ajax (1st),Glenavon (1st),Fredrikstad (1st)
Legia Warsaw (2nd),Benfica (1st),Limerick (1st),CCA București (1st)
Heart of Midlothian (1st),Barcelona (1st),Real Madrid (2nd)TH,IFK Malmö (2nd)
Young Boys (1st),Beşiktaş (1st),Hamburger SV (1st),Red Star Belgrade (1st)
