Phase,Round,Draw date,First leg,Second leg
Qualifying,Preliminary round,12 June 2018,26 June 2018 (semi-final round),29 June 2018 (final round)
Qualifying,First qualifying round,19 June 2018,10–11 July 2018,17–18 July 2018
Qualifying,Second qualifying round,19 June 2018,24–25 July 2018,31 July – 1 August 2018
Qualifying,Third qualifying round,23 July 2018,7–8 August 2018,14 August 2018
Play-off,Play-off round,6 August 2018,21–22 August 2018,28–29 August 2018
Group stage,Matchday 1,30 August 2018 (Monaco),18–19 September 2018,18–19 September 2018
Group stage,Matchday 2,30 August 2018 (Monaco),2–3 October 2018,2–3 October 2018
Group stage,Matchday 3,30 August 2018 (Monaco),23–24 October 2018,23–24 October 2018
Group stage,Matchday 4,30 August 2018 (Monaco),6–7 November 2018,6–7 November 2018
Group stage,Matchday 5,30 August 2018 (Monaco),27–28 November 2018,27–28 November 2018
Group stage,Matchday 6,30 August 2018 (Monaco),11–12 December 2018,11–12 December 2018
Knockout phase,Round of 16,17 December 2018,12–13 & 19–20 February 2019,5–6 & 12–13 March 2019
Knockout phase,Quarter-finals,15 March 2019,9–10 April 2019,16–17 April 2019
Knockout phase,Semi-finals,15 March 2019,30 April – 1 May 2019,7–8 May 2019
Knockout phase,Final,15 March 2019,"1 June 2019 at Metropolitano Stadium, Madrid","1 June 2019 at Metropolitano Stadium, Madrid"
