Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Virgil van Dijk[2],Liverpool,349
2,Matthijs de Ligt,Ajax,205
3,Trent Alexander-Arnold,Liverpool,29
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Andrew Robertson,Liverpool,16
5,Gerard Piqué,Barcelona,14
6,Jan Vertonghen,Tottenham Hotspur,12
7,Giorgio Chiellini,Juventus,8
8,Toby Alderweireld,Tottenham Hotspur,5
8,Kalidou Koulibaly,Napoli,5
8,Sergio Ramos,Real Madrid,5
