Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Lionel Messi[4],Barcelona,285
2,Sadio Mané,Liverpool,109
3,Cristiano Ronaldo,Juventus,91
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Mohamed Salah,Liverpool,83
5,Dušan Tadić,Ajax,35
6,Raheem Sterling,Manchester City,15
7,Robert Lewandowski,Bayern Munich,10
8,Roberto Firmino,Liverpool,9
8,Harry Kane,Tottenham Hotspur,9
10,Leroy Sané,Manchester City,6
