Rank,Player,Team,Points
Shortlist of top three,Shortlist of top three,Shortlist of top three,Shortlist of top three
1,Alisson[1],Liverpool,334
2,Marc-André ter Stegen,Barcelona,136
3,Hugo Lloris,Tottenham Hotspur,105
Players ranked 4–10,Players ranked 4–10,Players ranked 4–10,Players ranked 4–10
4,Jan Oblak,Atlético Madrid,36
5,André Onana,Ajax,28
6,Ederson,Manchester City,20
7,Samir Handanović,Inter Milan,3
8,David de Gea,Manchester United,2
8,Wojciech Szczęsny,Juventus,2
