Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,POR,SCH,GAL,LMO
1,Porto,6,5,1,0,15,6,+9,16,Advance to knockout phase,,—,3–1,1–0,4–1
2,Schalke 04,6,3,2,1,6,4,+2,11,Advance to knockout phase,,1–1,—,2–0,1–0
3,Galatasaray,6,1,1,4,5,8,−3,4,Transfer to Europa League,,2–3,0–0,—,3–0
4,Lokomotiv Moscow,6,1,0,5,4,12,−8,3,,,1–3,0–1,2–0,—
