Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Ajax,3–2,Juventus,1–1,2–1
Liverpool,6–1,Porto,2–0,4–1
Tottenham Hotspur,4–4 (a),Manchester City,1–0,3–4
Manchester United,0–4[a],Barcelona,0–1,0–3
