Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MCI,LYO,SHK,HOF
1,Manchester City,6,4,1,1,16,6,+10,13,Advance to knockout phase,,—,1–2,6–0,2–1
2,Lyon,6,1,5,0,12,11,+1,8,Advance to knockout phase,,2–2,—,2–2,2–2
3,Shakhtar Donetsk,6,1,3,2,8,16,−8,6,Transfer to Europa League,,0–3,1–1,—,2–2
4,TSG Hoffenheim,6,0,3,3,11,14,−3,3,,,1–2,3–3,2–3,—
