Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,ROM,PLZ,CSKA
1,Real Madrid,6,4,0,2,12,5,+7,12,Advance to knockout phase,,—,3–0,2–1,0–3
2,Roma,6,3,0,3,11,8,+3,9,Advance to knockout phase,,0–2,—,5–0,3–0
3,Viktoria Plzeň,6,2,1,3,7,16,−9,7[a],Transfer to Europa League,,0–5,2–1,—,2–2
4,CSKA Moscow,6,2,1,3,8,9,−1,7[a],,,1–0,1–2,1–2,—
