Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,NAP,LIV,AJX,RAN
1,Napoli,6,5,0,1,20,6,+14,15[a],Advance to knockout phase,,—,4–1,4–2,3–0
2,Liverpool,6,5,0,1,17,6,+11,15[a],Advance to knockout phase,,2–0,—,2–1,2–0
3,Ajax,6,2,0,4,11,16,−5,6,Transfer to Europa League,,1–6,0–3,—,4–0
4,Rangers,6,0,0,6,2,22,−20,0,,,0–3,1–7,1–3,—
