Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
RB Leipzig,1–8,Manchester City,1–1,0–7
Club Brugge,1–7,Benfica,0–2,1–5
Liverpool,2–6,Real Madrid,2–5,0–1
Milan,1–0,Tottenham Hotspur,1–0,0–0
Eintracht Frankfurt,0–5,Napoli,0–2,0–3
Borussia Dortmund,1–2,Chelsea,1–0,0–2
Inter Milan,1–0,Porto,1–0,0–0
Paris Saint-Germain,0–3,Bayern Munich,0–1,0–2
