Phase,Round,Draw date,First leg,Second leg
Qualifying,Preliminary round,7 June 2022,21 June 2022 (semi-finals),24 June 2022 (final)
Qualifying,First qualifying round,14 June 2022,5–6 July 2022,12–13 July 2022
Qualifying,Second qualifying round,15 June 2022,19–20 July 2022,26–27 July 2022
Qualifying,Third qualifying round,18 July 2022,2–3 August 2022,9 August 2022
Play-offs,Play-off round,2 August 2022,16–17 August 2022,23–24 August 2022
Group stage,Matchday 1,25 August 2022,6–7 September 2022,6–7 September 2022
Group stage,Matchday 2,25 August 2022,13–14 September 2022,13–14 September 2022
Group stage,Matchday 3,25 August 2022,4–5 October 2022,4–5 October 2022
Group stage,Matchday 4,25 August 2022,11–12 October 2022,11–12 October 2022
Group stage,Matchday 5,25 August 2022,25–26 October 2022,25–26 October 2022
Group stage,Matchday 6,25 August 2022,1–2 November 2022,1–2 November 2022
Knockout phase,Round of 16,7 November 2022,14–15 & 21–22 February 2023,7–8 & 14–15 March 2023
Knockout phase,Quarter-finals,17 March 2023,11–12 April 2023,18–19 April 2023
Knockout phase,Semi-finals,17 March 2023,9–10 May 2023,16–17 May 2023
Knockout phase,Final,17 March 2023,"10 June 2023 at Atatürk Olympic Stadium, Istanbul","10 June 2023 at Atatürk Olympic Stadium, Istanbul"
