Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,POR,BRU,LEV,ATM
1,Porto,6,4,0,2,12,7,+5,12,Advance to knockout phase,,—,0–4,2–0,2–1
2,Club Brugge,6,3,2,1,7,4,+3,11,Advance to knockout phase,,0–4,—,1–0,2–0
3,Bayer Leverkusen,6,1,2,3,4,8,−4,5[a],Transfer to Europa League,,0–3,0–0,—,2–0
4,Atlético Madrid,6,1,2,3,5,9,−4,5[a],,,2–1,0–0,2–2,—
