Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,RMA,RBL,SHK,CEL
1,Real Madrid,6,4,1,1,15,6,+9,13,Advance to knockout phase,,—,2–0,2–1,5–1
2,RB Leipzig,6,4,0,2,13,9,+4,12,Advance to knockout phase,,3–2,—,1–4,3–1
3,Shakhtar Donetsk,6,1,3,2,8,10,−2,6,Transfer to Europa League,,1–1,0–4,—,1–1
4,Celtic,6,0,2,4,4,15,−11,2,,,0–3,0–2,1–1,—
