Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BEN,PAR,JUV,MHA
1,Benfica,6,4,2,0,16,7,+9,14[a],Advance to knockout phase,,—,1–1,4–3,2–0
2,Paris Saint-Germain,6,4,2,0,16,7,+9,14[a],Advance to knockout phase,,1–1,—,2–1,7–2
3,Juventus,6,1,0,5,9,13,−4,3[b],Transfer to Europa League,,1–2,1–2,—,3–1
4,Maccabi Haifa,6,1,0,5,7,21,−14,3[b],,,1–6,1–3,2–0,—
