Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,TOT,FRA,SPO,MAR
1,Tottenham Hotspur,6,3,2,1,8,6,+2,11,Advance to knockout phase,,—,3–2,1–1,2–0
2,Eintracht Frankfurt,6,3,1,2,7,8,−1,10,Advance to knockout phase,,0–0,—,0–3,2–1
3,Sporting CP,6,2,1,3,8,9,−1,7,Transfer to Europa League,,2–0,1–2,—,0–2
4,Marseille,6,2,0,4,8,8,0,6,,,1–2,0–1,4–1,—
