Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,MCI,DOR,SEV,CPH
1,Manchester City,6,4,2,0,14,2,+12,14,Advance to knockout phase,,—,2–1,3–1,5–0
2,Borussia Dortmund,6,2,3,1,10,5,+5,9,Advance to knockout phase,,0–0,—,1–1,3–0
3,Sevilla,6,1,2,3,6,12,−6,5,Transfer to Europa League,,0–4,1–4,—,3–0
4,Copenhagen,6,0,3,3,1,12,−11,3,,,0–0,1–1,0–0,—
