Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,CHE,MIL,SAL,DZG
1,Chelsea,6,4,1,1,10,4,+6,13,Advance to knockout phase,,—,3–0,1–1,2–1
2,Milan,6,3,1,2,12,7,+5,10,Advance to knockout phase,,0–2,—,4–0,3–1
3,Red Bull Salzburg,6,1,3,2,5,9,−4,6,Transfer to Europa League,,1–2,1–1,—,1–0
4,Dinamo Zagreb,6,1,1,4,4,11,−7,4,,,1–0,0–4,1–1,—
