Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Real Madrid,4–0,Chelsea,2–0,2–0
Benfica,3–5[a],Inter Milan,0–2,3–3
Manchester City,4–1,Bayern Munich,3–0,1–1
Milan,2–1,Napoli,1–0,1–1
