Rank[24],Player,Team,Goals,Minutes played
1,Erling Haaland,Manchester City,12,845
2,Mohamed Salah,Liverpool,8,624
3,Kylian Mbappé,Paris Saint-Germain,7,651
3,Vinícius Júnior,Real Madrid,7,975
5,João Mário,Benfica,6,865
6,Victor Osimhen,Napoli,5,424
6,Robert Lewandowski,Barcelona,5,442
6,Mehdi Taremi,Porto,5,613
6,Rodrygo,Real Madrid,5,824
6,Rafa Silva,Benfica,5,826
6,Olivier Giroud,Milan,5,939
