Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Unnamed: 11,BAY,INT,BAR,PLZ
1,Bayern Munich,6,6,0,0,18,2,+16,18,Advance to knockout phase,,—,2–0,2–0,5–0
2,Inter Milan,6,3,1,2,10,7,+3,10,Advance to knockout phase,,0–2,—,1–0,4–0
3,Barcelona,6,2,1,3,12,12,0,7,Transfer to Europa League,,0–3,3–3,—,5–1
4,Viktoria Plzeň,6,0,0,6,5,24,−19,0,,,2–4,0–2,2–4,—
