Team 1,Agg. Tooltip Aggregate score,Team 2,1st leg,2nd leg
Málaga,2–3,Borussia Dortmund,0–0,2–3
Real Madrid,5–3,Galatasaray,3–0,2–3
Paris Saint-Germain,3–3 (a),Barcelona,2–2,1–1
Bayern Munich,4–0,Juventus,2–0,2–0
